"","Date","region1","region2","region3","region1_alt","region2_alt","region3_alt"
"448",19010324,NA,NA,NA,NA,NA,NA
"449",19010325,NA,NA,NA,NA,NA,NA
"450",19010326,NA,NA,NA,NA,NA,NA
"451",19010327,NA,NA,NA,NA,NA,NA
"452",19010328,NA,NA,NA,NA,NA,NA
"453",19010329,NA,NA,NA,NA,NA,NA
"454",19010330,NA,NA,NA,NA,NA,NA
"455",19010331,NA,NA,NA,NA,NA,NA
"456",19010401,NA,NA,NA,NA,NA,NA
"457",19010402,NA,NA,NA,NA,NA,NA
"458",19010403,NA,NA,NA,NA,NA,NA
"459",19010404,NA,NA,NA,NA,NA,NA
"460",19010405,NA,NA,NA,NA,NA,NA
"461",19010406,NA,NA,NA,NA,NA,NA
"462",19010407,NA,NA,NA,NA,NA,NA
"463",19010408,NA,NA,NA,NA,NA,NA
"464",19010409,NA,NA,NA,NA,NA,NA
"465",19010410,NA,NA,NA,NA,NA,NA
"466",19010411,NA,NA,NA,NA,NA,NA
"467",19010412,NA,NA,NA,NA,NA,NA
"468",19010413,NA,NA,NA,NA,NA,NA
"469",19010414,NA,NA,NA,NA,NA,NA
"470",19010415,NA,NA,NA,NA,NA,NA
"471",19010416,NA,NA,NA,NA,NA,NA
"472",19010417,NA,NA,NA,NA,NA,NA
"473",19010418,NA,NA,NA,NA,NA,NA
"474",19010419,NA,NA,NA,NA,NA,NA
"475",19010420,NA,NA,NA,NA,NA,NA
"476",19010421,NA,NA,NA,NA,NA,NA
"477",19010422,NA,NA,NA,NA,NA,NA
"478",19010423,NA,NA,NA,NA,NA,NA
"479",19010424,NA,NA,NA,NA,NA,NA
"480",19010425,NA,NA,NA,NA,NA,NA
"481",19010426,NA,NA,NA,NA,NA,NA
"482",19010427,NA,NA,NA,NA,NA,NA
"483",19010428,NA,NA,NA,NA,NA,NA
"484",19010429,NA,NA,NA,NA,NA,NA
"485",19010430,NA,NA,NA,NA,NA,NA
"486",19010501,NA,NA,NA,NA,NA,NA
"487",19010502,NA,NA,NA,NA,NA,NA
"488",19010503,NA,NA,NA,NA,NA,NA
"489",19010504,NA,NA,NA,NA,NA,NA
"490",19010505,NA,NA,NA,NA,NA,NA
"491",19010506,NA,NA,NA,NA,NA,NA
